YearMonth,Latitude,Longitude,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_PAR_TOT,CLRSKY_SFC_SW_DWN
202207,41.913999999999945,-87.76999999999991,0.52,9.15,5.32,5.89,3.56,7.79
202208,41.913999999999945,-87.76999999999991,0.53,9.06,5.3,5.35,3.15,6.91
202209,41.913999999999945,-87.76999999999991,0.54,8.43,4.92,4.38,2.55,5.67
202210,41.913999999999945,-87.76999999999991,0.56,7.25,5.17,3.43,1.89,4.3
202211,41.913999999999945,-87.76999999999991,0.5,6.7,3.95,2.18,1.29,3.0
202212,41.913999999999945,-87.76999999999991,0.35,6.41,1.67,1.24,0.99,2.36
202213,41.913999999999945,-87.76999999999991,0.5,7.53,4.2,3.87,2.39,5.42
202301,41.913999999999945,-87.76999999999991,0.32,6.76,1.49,1.3,1.15,2.71
202302,41.913999999999945,-87.76999999999991,0.5,6.27,4.09,2.77,1.65,3.91
202303,41.913999999999945,-87.76999999999991,0.44,6.68,3.31,3.31,2.3,5.39
202304,41.913999999999945,-87.76999999999991,0.51,7.27,4.78,4.92,3.01,6.94
202305,41.913999999999945,-87.76999999999991,0.56,7.97,5.58,6.1,3.4,7.73
202306,41.913999999999945,-87.76999999999991,0.55,8.69,5.18,6.3,3.42,7.75
202307,41.913999999999945,-87.76999999999991,0.55,9.19,5.4,6.19,3.44,7.59
202308,41.913999999999945,-87.76999999999991,0.53,9.03,5.18,5.33,3.12,6.85
202309,41.913999999999945,-87.76999999999991,0.49,8.58,4.22,4.03,2.51,5.57
202310,41.913999999999945,-87.76999999999991,0.45,7.74,3.61,2.76,1.86,4.2
202311,41.913999999999945,-87.76999999999991,0.54,6.59,4.28,2.38,1.31,3.03
202312,41.913999999999945,-87.76999999999991,0.37,6.87,2.23,1.33,1.0,2.35
202313,41.913999999999945,-87.76999999999991,0.5,7.64,4.11,3.89,2.35,5.33
202401,41.913999999999945,-87.76999999999991,0.37,6.28,1.85,1.48,1.18,2.79
202402,41.913999999999945,-87.76999999999991,0.59,6.25,5.32,3.29,1.68,3.96
202403,41.913999999999945,-87.76999999999991,0.51,6.94,4.51,3.92,2.34,5.44
202404,41.913999999999945,-87.76999999999991,0.5,7.52,4.96,4.78,3.02,6.9
202405,41.913999999999945,-87.76999999999991,0.56,8.31,5.93,6.16,3.5,7.85
202406,41.913999999999945,-87.76999999999991,0.55,9.01,5.75,6.32,3.7,8.16
201901,41.913999999999945,-87.7599999999999,0.34,6.05,1.98,1.38,1.19,2.82
201902,41.913999999999945,-87.7599999999999,0.39,6.4,2.32,2.12,1.66,3.89
201903,41.913999999999945,-87.7599999999999,0.48,6.44,4.19,3.62,2.33,5.46
201904,41.913999999999945,-87.7599999999999,0.47,7.43,4.23,4.53,2.97,6.79
201905,41.913999999999945,-87.7599999999999,0.44,8.32,3.64,4.85,3.38,7.58
201906,41.913999999999945,-87.7599999999999,0.49,8.76,4.23,5.71,3.56,7.94
201907,41.913999999999945,-87.7599999999999,0.59,9.31,6.2,6.58,3.55,7.71
201908,41.913999999999945,-87.7599999999999,0.56,8.96,5.41,5.57,3.14,6.89
201909,41.913999999999945,-87.7599999999999,0.47,8.99,3.68,3.84,2.5,5.48
201910,41.913999999999945,-87.7599999999999,0.45,7.51,3.63,2.77,1.87,4.23
201911,41.913999999999945,-87.7599999999999,0.42,6.6,2.45,1.82,1.27,2.97
201912,41.913999999999945,-87.7599999999999,0.44,6.43,2.53,1.56,1.0,2.38
201913,41.913999999999945,-87.7599999999999,0.48,7.6,3.71,3.7,2.37,5.35
202001,41.913999999999945,-87.7599999999999,0.34,6.47,1.78,1.35,1.15,2.72
202002,41.913999999999945,-87.7599999999999,0.44,6.19,3.08,2.42,1.67,3.96
202003,41.913999999999945,-87.7599999999999,0.39,7.01,3.1,2.97,2.33,5.38
202004,41.913999999999945,-87.7599999999999,0.49,7.3,4.71,4.72,3.02,6.97
202005,41.913999999999945,-87.7599999999999,0.5,8.15,4.85,5.54,3.5,7.88
202006,41.913999999999945,-87.7599999999999,0.57,8.87,5.79,6.58,3.67,8.12
202007,41.913999999999945,-87.7599999999999,0.57,9.34,6.1,6.44,3.58,7.8
202008,41.913999999999945,-87.7599999999999,0.6,8.94,6.29,5.98,3.15,6.95
202009,41.913999999999945,-87.7599999999999,0.5,8.33,4.11,4.06,2.36,5.32
202010,41.913999999999945,-87.7599999999999,0.46,7.44,3.6,2.83,1.8,4.11
202011,41.913999999999945,-87.7599999999999,0.52,6.85,3.92,2.25,1.27,2.95
202012,41.913999999999945,-87.7599999999999,0.45,6.32,2.88,1.6,1.01,2.4
202013,41.913999999999945,-87.7599999999999,0.5,7.6,4.18,3.89,2.37,5.38
202101,41.913999999999945,-87.7599999999999,0.35,6.4,1.66,1.41,1.16,2.76
202102,41.913999999999945,-87.7599999999999,0.46,5.83,2.81,2.55,1.72,4.07
202103,41.913999999999945,-87.7599999999999,0.53,6.72,4.79,4.04,2.33,5.45
202104,41.913999999999945,-87.7599999999999,0.51,7.39,4.91,4.92,2.98,6.86
202105,41.913999999999945,-87.7599999999999,0.49,8.14,4.4,5.42,3.44,7.78
202106,41.913999999999945,-87.7599999999999,0.52,9.17,5.11,6.01,3.61,7.94
202107,41.913999999999945,-87.7599999999999,0.48,9.31,3.63,5.42,3.22,7.18
202108,41.913999999999945,-87.7599999999999,0.57,9.33,5.14,5.66,3.02,6.63
202109,41.913999999999945,-87.7599999999999,0.56,8.48,5.37,4.61,2.47,5.51
202110,41.913999999999945,-87.7599999999999,0.41,8.11,2.87,2.47,1.81,4.05
202111,41.913999999999945,-87.7599999999999,0.47,6.55,3.22,2.03,1.27,2.95
202112,41.913999999999945,-87.7599999999999,0.44,6.53,2.68,1.55,1.0,2.34
202113,41.913999999999945,-87.7599999999999,0.5,7.66,3.88,3.84,2.34,5.29
202201,41.913999999999945,-87.7599999999999,0.44,5.78,2.68,1.77,1.19,2.87
202202,41.913999999999945,-87.7599999999999,0.48,6.15,3.25,2.68,1.71,4.01
202203,41.913999999999945,-87.7599999999999,0.46,6.83,3.73,3.51,2.33,5.42
202204,41.913999999999945,-87.7599999999999,0.43,7.46,3.54,4.13,2.96,6.83
202205,41.913999999999945,-87.7599999999999,0.47,8.44,3.95,5.12,3.4,7.61
202206,41.913999999999945,-87.7599999999999,0.58,8.72,6.87,6.7,3.72,8.24
202207,41.913999999999945,-87.7599999999999,0.52,9.15,5.32,5.89,3.56,7.79
202208,41.913999999999945,-87.7599999999999,0.53,9.06,5.3,5.35,3.15,6.91
202209,41.913999999999945,-87.7599999999999,0.54,8.43,4.92,4.38,2.55,5.67
202210,41.913999999999945,-87.7599999999999,0.56,7.25,5.17,3.43,1.89,4.3
202211,41.913999999999945,-87.7599999999999,0.5,6.7,3.95,2.18,1.29,3.0
202212,41.913999999999945,-87.7599999999999,0.35,6.41,1.67,1.24,0.99,2.36
202213,41.913999999999945,-87.7599999999999,0.5,7.53,4.2,3.87,2.39,5.42
202301,41.913999999999945,-87.7599999999999,0.32,6.76,1.49,1.3,1.15,2.71
202302,41.913999999999945,-87.7599999999999,0.5,6.27,4.09,2.77,1.65,3.91
202303,41.913999999999945,-87.7599999999999,0.44,6.68,3.31,3.31,2.3,5.39
202304,41.913999999999945,-87.7599999999999,0.51,7.27,4.78,4.92,3.01,6.94
202305,41.913999999999945,-87.7599999999999,0.56,7.97,5.58,6.1,3.4,7.73
202306,41.913999999999945,-87.7599999999999,0.55,8.69,5.18,6.3,3.42,7.75
202307,41.913999999999945,-87.7599999999999,0.55,9.19,5.4,6.19,3.44,7.59
202308,41.913999999999945,-87.7599999999999,0.53,9.03,5.18,5.33,3.12,6.85
202309,41.913999999999945,-87.7599999999999,0.49,8.58,4.22,4.03,2.51,5.57
202310,41.913999999999945,-87.7599999999999,0.45,7.74,3.61,2.76,1.86,4.2
202311,41.913999999999945,-87.7599999999999,0.54,6.59,4.28,2.38,1.31,3.03
202312,41.913999999999945,-87.7599999999999,0.37,6.87,2.23,1.33,1.0,2.35
202313,41.913999999999945,-87.7599999999999,0.5,7.64,4.11,3.89,2.35,5.33
202401,41.913999999999945,-87.7599999999999,0.37,6.28,1.85,1.48,1.18,2.79
202402,41.913999999999945,-87.7599999999999,0.59,6.25,5.32,3.29,1.68,3.96
202403,41.913999999999945,-87.7599999999999,0.51,6.94,4.51,3.92,2.34,5.44
202404,41.913999999999945,-87.7599999999999,0.5,7.52,4.96,4.78,3.02,6.9
202405,41.913999999999945,-87.7599999999999,0.56,8.31,5.93,6.16,3.5,7.85
202406,41.913999999999945,-87.7599999999999,0.55,9.01,5.75,6.32,3.7,8.16
201901,41.913999999999945,-87.7499999999999,0.34,6.05,1.98,1.38,1.19,2.82
201902,41.913999999999945,-87.7499999999999,0.39,6.4,2.32,2.12,1.66,3.89
201903,41.913999999999945,-87.7499999999999,0.48,6.44,4.19,3.62,2.33,5.46
201904,41.913999999999945,-87.7499999999999,0.47,7.43,4.23,4.53,2.97,6.79
201905,41.913999999999945,-87.7499999999999,0.44,8.32,3.64,4.85,3.38,7.58
201906,41.913999999999945,-87.7499999999999,0.49,8.76,4.23,5.71,3.56,7.94
201907,41.913999999999945,-87.7499999999999,0.59,9.31,6.2,6.58,3.55,7.71
201908,41.913999999999945,-87.7499999999999,0.56,8.96,5.41,5.57,3.14,6.89
201909,41.913999999999945,-87.7499999999999,0.47,8.99,3.68,3.84,2.5,5.48
201910,41.913999999999945,-87.7499999999999,0.45,7.51,3.63,2.77,1.87,4.23
201911,41.913999999999945,-87.7499999999999,0.42,6.6,2.45,1.82,1.27,2.97
201912,41.913999999999945,-87.7499999999999,0.44,6.43,2.53,1.56,1.0,2.38
201913,41.913999999999945,-87.7499999999999,0.48,7.6,3.71,3.7,2.37,5.35
202001,41.913999999999945,-87.7499999999999,0.34,6.47,1.78,1.35,1.15,2.72
202002,41.913999999999945,-87.7499999999999,0.44,6.19,3.08,2.42,1.67,3.96
202003,41.913999999999945,-87.7499999999999,0.39,7.01,3.1,2.97,2.33,5.38
202004,41.913999999999945,-87.7499999999999,0.49,7.3,4.71,4.72,3.02,6.97
202005,41.913999999999945,-87.7499999999999,0.5,8.15,4.85,5.54,3.5,7.88
202006,41.913999999999945,-87.7499999999999,0.57,8.87,5.79,6.58,3.67,8.12
202007,41.913999999999945,-87.7499999999999,0.57,9.34,6.1,6.44,3.58,7.8
202008,41.913999999999945,-87.7499999999999,0.6,8.94,6.29,5.98,3.15,6.95
202009,41.913999999999945,-87.7499999999999,0.5,8.33,4.11,4.06,2.36,5.32
202010,41.913999999999945,-87.7499999999999,0.46,7.44,3.6,2.83,1.8,4.11
202011,41.913999999999945,-87.7499999999999,0.52,6.85,3.92,2.25,1.27,2.95
202012,41.913999999999945,-87.7499999999999,0.45,6.32,2.88,1.6,1.01,2.4
202013,41.913999999999945,-87.7499999999999,0.5,7.6,4.18,3.89,2.37,5.38
202101,41.913999999999945,-87.7499999999999,0.35,6.4,1.66,1.41,1.16,2.76
202102,41.913999999999945,-87.7499999999999,0.46,5.83,2.81,2.55,1.72,4.07
202103,41.913999999999945,-87.7499999999999,0.53,6.72,4.79,4.04,2.33,5.45
202104,41.913999999999945,-87.7499999999999,0.51,7.39,4.91,4.92,2.98,6.86
202105,41.913999999999945,-87.7499999999999,0.49,8.14,4.4,5.42,3.44,7.78
202106,41.913999999999945,-87.7499999999999,0.52,9.17,5.11,6.01,3.61,7.94
202107,41.913999999999945,-87.7499999999999,0.48,9.31,3.63,5.42,3.22,7.18
202108,41.913999999999945,-87.7499999999999,0.57,9.33,5.14,5.66,3.02,6.63
202109,41.913999999999945,-87.7499999999999,0.56,8.48,5.37,4.61,2.47,5.51
202110,41.913999999999945,-87.7499999999999,0.41,8.11,2.87,2.47,1.81,4.05
202111,41.913999999999945,-87.7499999999999,0.47,6.55,3.22,2.03,1.27,2.95
202112,41.913999999999945,-87.7499999999999,0.44,6.53,2.68,1.55,1.0,2.34
202113,41.913999999999945,-87.7499999999999,0.5,7.66,3.88,3.84,2.34,5.29
202201,41.913999999999945,-87.7499999999999,0.44,5.78,2.68,1.77,1.19,2.87
202202,41.913999999999945,-87.7499999999999,0.48,6.15,3.25,2.68,1.71,4.01
202203,41.913999999999945,-87.7499999999999,0.46,6.83,3.73,3.51,2.33,5.42
202204,41.913999999999945,-87.7499999999999,0.43,7.46,3.54,4.13,2.96,6.83
202205,41.913999999999945,-87.7499999999999,0.47,8.44,3.95,5.12,3.4,7.61
202206,41.913999999999945,-87.7499999999999,0.58,8.72,6.87,6.7,3.72,8.24
202207,41.913999999999945,-87.7499999999999,0.52,9.15,5.32,5.89,3.56,7.79
202208,41.913999999999945,-87.7499999999999,0.53,9.06,5.3,5.35,3.15,6.91
202209,41.913999999999945,-87.7499999999999,0.54,8.43,4.92,4.38,2.55,5.67
202210,41.913999999999945,-87.7499999999999,0.56,7.25,5.17,3.43,1.89,4.3
202211,41.913999999999945,-87.7499999999999,0.5,6.7,3.95,2.18,1.29,3.0
202212,41.913999999999945,-87.7499999999999,0.35,6.41,1.67,1.24,0.99,2.36
202213,41.913999999999945,-87.7499999999999,0.5,7.53,4.2,3.87,2.39,5.42
202301,41.913999999999945,-87.7499999999999,0.32,6.76,1.49,1.3,1.15,2.71
202302,41.913999999999945,-87.7499999999999,0.5,6.27,4.09,2.77,1.65,3.91
202303,41.913999999999945,-87.7499999999999,0.44,6.68,3.31,3.31,2.3,5.39
202304,41.913999999999945,-87.7499999999999,0.51,7.27,4.78,4.92,3.01,6.94
202305,41.913999999999945,-87.7499999999999,0.56,7.97,5.58,6.1,3.4,7.73
202306,41.913999999999945,-87.7499999999999,0.55,8.69,5.18,6.3,3.42,7.75
202307,41.913999999999945,-87.7499999999999,0.55,9.19,5.4,6.19,3.44,7.59
202308,41.913999999999945,-87.7499999999999,0.53,9.03,5.18,5.33,3.12,6.85
202309,41.913999999999945,-87.7499999999999,0.49,8.58,4.22,4.03,2.51,5.57
202310,41.913999999999945,-87.7499999999999,0.45,7.74,3.61,2.76,1.86,4.2
202311,41.913999999999945,-87.7499999999999,0.54,6.59,4.28,2.38,1.31,3.03
202312,41.913999999999945,-87.7499999999999,0.37,6.87,2.23,1.33,1.0,2.35
202313,41.913999999999945,-87.7499999999999,0.5,7.64,4.11,3.89,2.35,5.33
202401,41.913999999999945,-87.7499999999999,0.37,6.28,1.85,1.48,1.18,2.79
202402,41.913999999999945,-87.7499999999999,0.59,6.25,5.32,3.29,1.68,3.96
202403,41.913999999999945,-87.7499999999999,0.51,6.94,4.51,3.92,2.34,5.44
202404,41.913999999999945,-87.7499999999999,0.5,7.52,4.96,4.78,3.02,6.9
202405,41.913999999999945,-87.7499999999999,0.56,8.31,5.93,6.16,3.5,7.85
202406,41.913999999999945,-87.7499999999999,0.55,9.01,5.75,6.32,3.7,8.16
201901,41.913999999999945,-87.7399999999999,0.34,6.05,1.98,1.38,1.19,2.82
201902,41.913999999999945,-87.7399999999999,0.39,6.4,2.32,2.12,1.66,3.89
201903,41.913999999999945,-87.7399999999999,0.48,6.44,4.19,3.62,2.33,5.46
201904,41.913999999999945,-87.7399999999999,0.47,7.43,4.23,4.53,2.97,6.79
201905,41.913999999999945,-87.7399999999999,0.44,8.32,3.64,4.85,3.38,7.58
201906,41.913999999999945,-87.7399999999999,0.49,8.76,4.23,5.71,3.56,7.94
201907,41.913999999999945,-87.7399999999999,0.59,9.31,6.2,6.58,3.55,7.71
201908,41.913999999999945,-87.7399999999999,0.56,8.96,5.41,5.57,3.14,6.89
201909,41.913999999999945,-87.7399999999999,0.47,8.99,3.68,3.84,2.5,5.48
201910,41.913999999999945,-87.7399999999999,0.45,7.51,3.63,2.77,1.87,4.23
201911,41.913999999999945,-87.7399999999999,0.42,6.6,2.45,1.82,1.27,2.97
201912,41.913999999999945,-87.7399999999999,0.44,6.43,2.53,1.56,1.0,2.38
201913,41.913999999999945,-87.7399999999999,0.48,7.6,3.71,3.7,2.37,5.35
202001,41.913999999999945,-87.7399999999999,0.34,6.47,1.78,1.35,1.15,2.72
202002,41.913999999999945,-87.7399999999999,0.44,6.19,3.08,2.42,1.67,3.96
202003,41.913999999999945,-87.7399999999999,0.39,7.01,3.1,2.97,2.33,5.38
202004,41.913999999999945,-87.7399999999999,0.49,7.3,4.71,4.72,3.02,6.97
202005,41.913999999999945,-87.7399999999999,0.5,8.15,4.85,5.54,3.5,7.88
202006,41.913999999999945,-87.7399999999999,0.57,8.87,5.79,6.58,3.67,8.12
202007,41.913999999999945,-87.7399999999999,0.57,9.34,6.1,6.44,3.58,7.8
202008,41.913999999999945,-87.7399999999999,0.6,8.94,6.29,5.98,3.15,6.95
202009,41.913999999999945,-87.7399999999999,0.5,8.33,4.11,4.06,2.36,5.32
202010,41.913999999999945,-87.7399999999999,0.46,7.44,3.6,2.83,1.8,4.11
202011,41.913999999999945,-87.7399999999999,0.52,6.85,3.92,2.25,1.27,2.95
202012,41.913999999999945,-87.7399999999999,0.45,6.32,2.88,1.6,1.01,2.4
202013,41.913999999999945,-87.7399999999999,0.5,7.6,4.18,3.89,2.37,5.38
202101,41.913999999999945,-87.7399999999999,0.35,6.4,1.66,1.41,1.16,2.76
202102,41.913999999999945,-87.7399999999999,0.46,5.83,2.81,2.55,1.72,4.07
202103,41.913999999999945,-87.7399999999999,0.53,6.72,4.79,4.04,2.33,5.45
202104,41.913999999999945,-87.7399999999999,0.51,7.39,4.91,4.92,2.98,6.86
202105,41.913999999999945,-87.7399999999999,0.49,8.14,4.4,5.42,3.44,7.78
202106,41.913999999999945,-87.7399999999999,0.52,9.17,5.11,6.01,3.61,7.94
202107,41.913999999999945,-87.7399999999999,0.48,9.31,3.63,5.42,3.22,7.18
202108,41.913999999999945,-87.7399999999999,0.57,9.33,5.14,5.66,3.02,6.63
202109,41.913999999999945,-87.7399999999999,0.56,8.48,5.37,4.61,2.47,5.51
202110,41.913999999999945,-87.7399999999999,0.41,8.11,2.87,2.47,1.81,4.05
202111,41.913999999999945,-87.7399999999999,0.47,6.55,3.22,2.03,1.27,2.95
202112,41.913999999999945,-87.7399999999999,0.44,6.53,2.68,1.55,1.0,2.34
202113,41.913999999999945,-87.7399999999999,0.5,7.66,3.88,3.84,2.34,5.29
202201,41.913999999999945,-87.7399999999999,0.44,5.78,2.68,1.77,1.19,2.87
202202,41.913999999999945,-87.7399999999999,0.48,6.15,3.25,2.68,1.71,4.01
202203,41.913999999999945,-87.7399999999999,0.46,6.83,3.73,3.51,2.33,5.42
202204,41.913999999999945,-87.7399999999999,0.43,7.46,3.54,4.13,2.96,6.83
202205,41.913999999999945,-87.7399999999999,0.47,8.44,3.95,5.12,3.4,7.61
202206,41.913999999999945,-87.7399999999999,0.58,8.72,6.87,6.7,3.72,8.24
202207,41.913999999999945,-87.7399999999999,0.52,9.15,5.32,5.89,3.56,7.79
202208,41.913999999999945,-87.7399999999999,0.53,9.06,5.3,5.35,3.15,6.91
202209,41.913999999999945,-87.7399999999999,0.54,8.43,4.92,4.38,2.55,5.67
202210,41.913999999999945,-87.7399999999999,0.56,7.25,5.17,3.43,1.89,4.3
202211,41.913999999999945,-87.7399999999999,0.5,6.7,3.95,2.18,1.29,3.0
202212,41.913999999999945,-87.7399999999999,0.35,6.41,1.67,1.24,0.99,2.36
202213,41.913999999999945,-87.7399999999999,0.5,7.53,4.2,3.87,2.39,5.42
202301,41.913999999999945,-87.7399999999999,0.32,6.76,1.49,1.3,1.15,2.71
202302,41.913999999999945,-87.7399999999999,0.5,6.27,4.09,2.77,1.65,3.91
202303,41.913999999999945,-87.7399999999999,0.44,6.68,3.31,3.31,2.3,5.39
202304,41.913999999999945,-87.7399999999999,0.51,7.27,4.78,4.92,3.01,6.94
202305,41.913999999999945,-87.7399999999999,0.56,7.97,5.58,6.1,3.4,7.73
202306,41.913999999999945,-87.7399999999999,0.55,8.69,5.18,6.3,3.42,7.75
202307,41.913999999999945,-87.7399999999999,0.55,9.19,5.4,6.19,3.44,7.59
202308,41.913999999999945,-87.7399999999999,0.53,9.03,5.18,5.33,3.12,6.85
202309,41.913999999999945,-87.7399999999999,0.49,8.58,4.22,4.03,2.51,5.57
202310,41.913999999999945,-87.7399999999999,0.45,7.74,3.61,2.76,1.86,4.2
202311,41.913999999999945,-87.7399999999999,0.54,6.59,4.28,2.38,1.31,3.03
202312,41.913999999999945,-87.7399999999999,0.37,6.87,2.23,1.33,1.0,2.35
202313,41.913999999999945,-87.7399999999999,0.5,7.64,4.11,3.89,2.35,5.33
202401,41.913999999999945,-87.7399999999999,0.37,6.28,1.85,1.48,1.18,2.79
202402,41.913999999999945,-87.7399999999999,0.59,6.25,5.32,3.29,1.68,3.96
202403,41.913999999999945,-87.7399999999999,0.51,6.94,4.51,3.92,2.34,5.44
202404,41.913999999999945,-87.7399999999999,0.5,7.52,4.96,4.78,3.02,6.9
202405,41.913999999999945,-87.7399999999999,0.56,8.31,5.93,6.16,3.5,7.85
202406,41.913999999999945,-87.7399999999999,0.55,9.01,5.75,6.32,3.7,8.16
201901,41.913999999999945,-87.72999999999989,0.34,6.05,1.98,1.38,1.19,2.82
201902,41.913999999999945,-87.72999999999989,0.39,6.4,2.32,2.12,1.66,3.89
201903,41.913999999999945,-87.72999999999989,0.48,6.44,4.19,3.62,2.33,5.46
201904,41.913999999999945,-87.72999999999989,0.47,7.43,4.23,4.53,2.97,6.79
201905,41.913999999999945,-87.72999999999989,0.44,8.32,3.64,4.85,3.38,7.58
201906,41.913999999999945,-87.72999999999989,0.49,8.76,4.23,5.71,3.56,7.94
201907,41.913999999999945,-87.72999999999989,0.59,9.31,6.2,6.58,3.55,7.71
201908,41.913999999999945,-87.72999999999989,0.56,8.96,5.41,5.57,3.14,6.89
201909,41.913999999999945,-87.72999999999989,0.47,8.99,3.68,3.84,2.5,5.48
201910,41.913999999999945,-87.72999999999989,0.45,7.51,3.63,2.77,1.87,4.23
201911,41.913999999999945,-87.72999999999989,0.42,6.6,2.45,1.82,1.27,2.97
201912,41.913999999999945,-87.72999999999989,0.44,6.43,2.53,1.56,1.0,2.38
201913,41.913999999999945,-87.72999999999989,0.48,7.6,3.71,3.7,2.37,5.35
202001,41.913999999999945,-87.72999999999989,0.34,6.47,1.78,1.35,1.15,2.72
202002,41.913999999999945,-87.72999999999989,0.44,6.19,3.08,2.42,1.67,3.96
202003,41.913999999999945,-87.72999999999989,0.39,7.01,3.1,2.97,2.33,5.38
202004,41.913999999999945,-87.72999999999989,0.49,7.3,4.71,4.72,3.02,6.97
202005,41.913999999999945,-87.72999999999989,0.5,8.15,4.85,5.54,3.5,7.88
202006,41.913999999999945,-87.72999999999989,0.57,8.87,5.79,6.58,3.67,8.12
202007,41.913999999999945,-87.72999999999989,0.57,9.34,6.1,6.44,3.58,7.8
202008,41.913999999999945,-87.72999999999989,0.6,8.94,6.29,5.98,3.15,6.95
202009,41.913999999999945,-87.72999999999989,0.5,8.33,4.11,4.06,2.36,5.32
202010,41.913999999999945,-87.72999999999989,0.46,7.44,3.6,2.83,1.8,4.11
202011,41.913999999999945,-87.72999999999989,0.52,6.85,3.92,2.25,1.27,2.95
202012,41.913999999999945,-87.72999999999989,0.45,6.32,2.88,1.6,1.01,2.4
202013,41.913999999999945,-87.72999999999989,0.5,7.6,4.18,3.89,2.37,5.38
202101,41.913999999999945,-87.72999999999989,0.35,6.4,1.66,1.41,1.16,2.76
202102,41.913999999999945,-87.72999999999989,0.46,5.83,2.81,2.55,1.72,4.07
202103,41.913999999999945,-87.72999999999989,0.53,6.72,4.79,4.04,2.33,5.45
202104,41.913999999999945,-87.72999999999989,0.51,7.39,4.91,4.92,2.98,6.86
202105,41.913999999999945,-87.72999999999989,0.49,8.14,4.4,5.42,3.44,7.78
202106,41.913999999999945,-87.72999999999989,0.52,9.17,5.11,6.01,3.61,7.94
202107,41.913999999999945,-87.72999999999989,0.48,9.31,3.63,5.42,3.22,7.18
202108,41.913999999999945,-87.72999999999989,0.57,9.33,5.14,5.66,3.02,6.63
202109,41.913999999999945,-87.72999999999989,0.56,8.48,5.37,4.61,2.47,5.51
202110,41.913999999999945,-87.72999999999989,0.41,8.11,2.87,2.47,1.81,4.05
202111,41.913999999999945,-87.72999999999989,0.47,6.55,3.22,2.03,1.27,2.95
202112,41.913999999999945,-87.72999999999989,0.44,6.53,2.68,1.55,1.0,2.34
202113,41.913999999999945,-87.72999999999989,0.5,7.66,3.88,3.84,2.34,5.29
202201,41.913999999999945,-87.72999999999989,0.44,5.78,2.68,1.77,1.19,2.87
202202,41.913999999999945,-87.72999999999989,0.48,6.15,3.25,2.68,1.71,4.01
202203,41.913999999999945,-87.72999999999989,0.46,6.83,3.73,3.51,2.33,5.42
202204,41.913999999999945,-87.72999999999989,0.43,7.46,3.54,4.13,2.96,6.83
202205,41.913999999999945,-87.72999999999989,0.47,8.44,3.95,5.12,3.4,7.61
202206,41.913999999999945,-87.72999999999989,0.58,8.72,6.87,6.7,3.72,8.24
202207,41.913999999999945,-87.72999999999989,0.52,9.15,5.32,5.89,3.56,7.79
202208,41.913999999999945,-87.72999999999989,0.53,9.06,5.3,5.35,3.15,6.91
